Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_304.jpg,0,0,0,0,99.66999,85.58902,0.0002361371,53.48951,9.396181E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_371.jpg,0,0,0,0,99.66999,85.58902,0.0002348446,53.48951,6.160378E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_421.jpg,0,0,0,0,99.66999,85.58902,0.0002341444,53.48951,3.513309E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_488.jpg,0,0,0,0,99.66999,85.58902,0.0002334944,53.48951,7.14216E-07
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_555.jpg,0,0,0,0,99.66999,85.58902,0.000232673,53.48951,-2.928047E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_621.jpg,0,0,0,0,99.66999,85.58902,0.000232092,53.48951,-5.254878E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_689.jpg,0,0,0,0,99.66999,85.58902,0.0002313605,53.48951,-7.125628E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_755.jpg,0,0,0,0,99.66999,85.58902,0.0002310522,53.48951,-8.575848E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_821.jpg,0,0.1012579,0,0,99.67014,85.58921,0.005668271,53.48938,-9.425276E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_888.jpg,0,0.2995605,0,0.02732771,99.67065,85.58989,0.02397097,53.4932,-4.669408E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_26_955.jpg,0,0.4998324,0,0.01890391,99.67341,85.59363,0.1218587,53.39353,5.417139E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_021.jpg,0,0.6980118,0,0.05946418,99.67712,85.59864,0.2454261,53.53616,-0.0004480218
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_27_090.jpg,0,0.9062291,0,0.08862865,99.68229,85.60561,0.4078723,53.36332,0.0007939629
